TEMPERATURA ARIA, TEMPERATURA TERRA, UMIDITA, LUMINOSITA
28.40,25.25,50.40,50.84
28.40,25.25,50.40,50.89
28.40,25.19,50.40,50.99
28.40,25.19,50.40,51.14
28.40,25.19,50.40,51.01
28.40,25.25,50.40,51.23
28.40,25.19,50.40,51.21
28.40,25.25,50.50,51.09
28.40,25.19,50.50,51.01
28.40,25.19,50.60,51.21
28.40,25.25,50.60,51.11
28.40,25.25,50.60,51.14
28.40,25.19,50.60,51.06
28.40,25.19,50.60,51.16
28.40,25.19,50.70,51.18
28.30,25.25,50.70,50.38
28.30,25.31,50.70,48.52
28.30,25.25,50.70,48.99
28.30,25.25,50.70,48.94
28.30,25.25,50.70,48.52
28.30,25.19,50.70,49.04
28.30,25.19,50.70,49.30
28.30,25.19,50.70,49.23
28.30,25.19,50.70,49.35
28.30,25.19,50.60,49.60
28.30,25.25,50.60,49.60
28.30,25.19,50.60,49.60
28.30,25.19,50.60,50.04
28.30,25.19,50.60,50.53
28.30,25.19,50.50,49.82
28.30,25.19,50.50,50.04
28.30,25.19,50.50,43.98
28.30,25.19,50.50,50.04
28.30,25.19,50.40,50.33
28.30,25.19,50.40,50.13
28.30,25.19,50.40,50.35
28.30,25.25,50.40,50.35
28.30,25.19,50.40,50.74
28.30,25.19,50.40,50.50
28.30,25.25,50.40,50.38
28.30,25.19,50.40,50.45
28.30,25.19,50.40,50.82
28.30,25.25,50.40,51.04
28.30,25.25,50.40,51.26
28.30,25.19,50.40,51.70
28.30,25.19,50.40,51.53
28.30,25.19,50.40,51.75
28.30,25.12,50.40,51.50
28.30,25.19,50.40,51.58
28.30,25.19,50.40,51.89
28.30,25.19,50.40,51.82
28.30,25.19,50.40,46.47
28.30,25.19,50.30,52.19
28.60,26.19,50.80,55.43
28.30,25.19,50.50,49.82
28.30,25.19,50.50,50.04
28.30,25.19,50.50,43.98
28.30,25.19,50.50,50.04
28.30,25.19,50.40,50.33
28.30,25.19,50.40,50.13
28.30,25.19,50.40,50.35
28.30,25.25,50.40,50.35
28.30,25.19,50.40,50.74
28.30,25.19,50.40,50.50
28.30,25.25,50.40,50.38
28.30,25.19,50.40,50.45
28.30,25.19,50.40,50.82
28.30,25.25,50.40,51.04
28.30,25.25,50.40,51.26
28.30,25.19,50.40,51.70
28.30,25.19,50.40,51.53
28.30,25.19,50.40,51.75
28.30,25.12,50.40,51.50
28.30,25.19,50.40,51.58
28.30,25.19,50.40,51.89
28.30,25.19,50.40,51.82
28.30,25.19,50.40,46.47
28.30,25.19,50.30,52.19
28.60,26.19,50.80,55.43
